10/20/2014 3:13:25 PM New Instance of BeckmanFileHandler! Started: 
10/20/2014 3:13:25 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/20/2014 3:13:25 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\
10/21/2014 2:51:15 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00104.xls, 2 move attempts required.
10/21/2014 2:58:36 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00105.xls, 1 move attempts required.
10/21/2014 3:05:59 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00106.xls, 1 move attempts required.
10/21/2014 3:13:23 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00107.xls, 2 move attempts required.
10/21/2014 3:20:45 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00108.xls, 2 move attempts required.
10/21/2014 3:28:08 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00109.xls, 2 move attempts required.
10/21/2014 3:29:38 AM Moving file... Old file path: UN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00110.xls, 1 move attempts required.
10/21/2014 3:36:00 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00111.xls, 2 move attempts required.
10/21/2014 3:43:20 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00112.xls, 2 move attempts required.
10/21/2014 3:50:42 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00113.xls, 2 move attempts required.
10/21/2014 3:58:04 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00114.xls, 2 move attempts required.
10/21/2014 4:05:25 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00115.xls, 1 move attempts required.
10/21/2014 4:12:48 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00116.xls, 2 move attempts required.
10/21/2014 4:20:11 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00117.xls, 1 move attempts required.
10/21/2014 4:27:33 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00118.xls, 1 move attempts required.
10/21/2014 4:34:55 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00119.xls, 1 move attempts required.
10/21/2014 4:36:25 AM Moving file... Old file path: UN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00120.xls, 1 move attempts required.
10/21/2014 4:42:47 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00121.xls, 2 move attempts required.
10/21/2014 4:50:08 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00122.xls, 2 move attempts required.
10/21/2014 4:57:30 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00123.xls, 2 move attempts required.
