10/22/2014 5:51:43 PM New Instance of BeckmanFileHandler! Started: 
10/22/2014 5:51:43 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/22/2014 5:51:43 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\
10/23/2014 5:55:57 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00098.xls, 2 move attempts required.
10/23/2014 6:03:22 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00099.xls, 2 move attempts required.
10/23/2014 6:10:52 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00100.xls, 2 move attempts required.
10/23/2014 6:18:14 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00101.xls, 1 move attempts required.
10/23/2014 6:25:38 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00102.xls, 1 move attempts required.
10/23/2014 6:32:50 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00103.xls, 2 move attempts required.
10/23/2014 6:40:13 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00104.xls, 1 move attempts required.
10/23/2014 6:47:38 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00105.xls, 2 move attempts required.
10/23/2014 6:55:02 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00106.xls, 2 move attempts required.
10/23/2014 7:02:34 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00107.xls, 1 move attempts required.
10/23/2014 7:10:15 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00108.xls, 2 move attempts required.
10/23/2014 7:17:58 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00109.xls, 2 move attempts required.
10/23/2014 7:25:41 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00110.xls, 2 move attempts required.
10/23/2014 7:33:34 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00111.xls, 2 move attempts required.
10/23/2014 7:41:19 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00112.xls, 2 move attempts required.
10/23/2014 7:49:01 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00113.xls, 2 move attempts required.
10/23/2014 7:56:44 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00114.xls, 2 move attempts required.
10/23/2014 8:04:04 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00115.xls, 2 move attempts required.
10/23/2014 8:11:54 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00116.xls, 2 move attempts required.
10/23/2014 8:19:53 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00117.xls, 2 move attempts required.
10/23/2014 8:27:35 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00118.xls, 2 move attempts required.
10/23/2014 8:35:17 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00119.xls, 2 move attempts required.
10/23/2014 8:44:09 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00120.xls, 2 move attempts required.
10/23/2014 8:53:04 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00121.xls, 2 move attempts required.
10/23/2014 9:00:47 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00122.xls, 2 move attempts required.
10/23/2014 9:08:16 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00123.xls, 2 move attempts required.
10/23/2014 9:15:38 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00124.xls, 2 move attempts required.
10/23/2014 9:22:58 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00125.xls, 1 move attempts required.
10/23/2014 9:30:31 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00126.xls, 1 move attempts required.
10/23/2014 9:38:04 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00127.xls, 2 move attempts required.
